id,id_factura,fecha_pago,monto,metodo_pago,numero_transaccion,observaciones
1,2,2024-07-17,7413.86,Transferencia,TRX-391519,Pago parcial
2,3,2024-02-06,5038.99,Transferencia,TRX-491798,Pago completo
3,3,2024-03-24,2298.33,Transferencia,TRX-496474,
4,3,2024-02-14,5172.39,Tarjeta Crédito,TRX-987593,Pago completo
5,4,2024-01-20,12346.88,Efectivo,TRX-692950,Pago parcial
6,4,2024-02-07,7227.22,Efectivo,TRX-877228,
7,4,2024-04-03,11070.29,Efectivo,TRX-216244,
8,6,2024-03-26,13763.52,Efectivo,TRX-188092,
9,7,2024-09-25,44680.28,Transferencia,TRX-594410,Pago parcial
10,9,2024-08-01,16707.34,Efectivo,TRX-130520,Pago completo
11,9,2024-07-30,20824.11,Efectivo,TRX-372680,
12,11,2024-04-18,23834.6,Tarjeta Crédito,TRX-860635,
13,16,2024-07-19,26596.43,Transferencia,TRX-341796,Pago completo
14,21,2024-05-03,4814.64,Transferencia,TRX-236508,Pago completo
15,21,2024-04-24,13736.97,Efectivo,TRX-650798,
16,27,2024-10-05,60256.91,Tarjeta Crédito,TRX-829198,
17,37,2024-09-30,6508.65,Tarjeta Débito,TRX-478751,Pago completo
18,39,2024-04-14,4287.62,Efectivo,TRX-676086,Pago parcial
19,44,2024-06-19,29220.51,Transferencia,TRX-276303,Pago parcial
20,48,2024-08-03,19463.2,Transferencia,TRX-628641,
21,48,2024-08-24,7605.88,Efectivo,TRX-201232,
22,48,2024-08-02,20221.71,Tarjeta Crédito,TRX-821318,
23,51,2024-07-09,10687.75,Tarjeta Débito,TRX-238897,Pago parcial
24,51,2024-08-04,7459.1,Efectivo,TRX-404924,Pago completo
25,51,2024-08-04,21019.95,Transferencia,TRX-691266,Pago completo
26,54,2024-05-15,24894.52,Tarjeta Débito,TRX-966790,
27,59,2024-01-26,17064.22,Tarjeta Crédito,TRX-928121,
28,61,2024-01-24,16124.17,Tarjeta Débito,TRX-675601,
29,63,2024-06-03,30595.41,Efectivo,TRX-412413,Pago parcial
30,65,2024-07-08,13121.84,Efectivo,TRX-536833,Pago completo
31,65,2024-08-23,19034.48,Efectivo,TRX-855344,
32,66,2024-06-24,47474.12,Tarjeta Débito,TRX-700554,Pago parcial
33,71,2024-08-24,4286.41,Efectivo,TRX-612840,Pago completo
34,71,2024-08-23,4801.99,Tarjeta Débito,TRX-837035,Pago parcial
35,71,2024-10-09,6882.27,Transferencia,TRX-915911,
36,73,2024-05-28,3399.36,Tarjeta Débito,TRX-719649,
37,73,2024-06-03,8926.46,Efectivo,TRX-649436,
38,74,2024-09-03,32447.75,Tarjeta Crédito,TRX-797226,Pago completo
39,77,2024-09-10,23129.45,Tarjeta Crédito,TRX-574580,
40,77,2024-08-23,33903.34,Tarjeta Crédito,TRX-971707,Pago completo
41,83,2024-04-06,13332.1,Transferencia,TRX-715571,
42,83,2024-03-22,7393.66,Efectivo,TRX-528310,Pago completo
43,83,2024-04-18,17350.36,Tarjeta Débito,TRX-740464,Pago completo
44,84,2024-08-23,8135.92,Tarjeta Crédito,TRX-944028,Pago completo
45,84,2024-10-16,8627.86,Efectivo,TRX-852099,
46,84,2024-09-19,21782.74,Transferencia,TRX-694915,
47,85,2024-04-14,1958.39,Tarjeta Crédito,TRX-738128,
48,85,2024-03-23,4656.15,Tarjeta Débito,TRX-577397,Pago completo
49,86,2024-07-18,16011.41,Transferencia,TRX-532222,
50,86,2024-06-26,19434.28,Tarjeta Débito,TRX-811771,
51,90,2024-08-13,22171.12,Tarjeta Crédito,TRX-641366,Pago parcial
52,91,2024-03-18,1449.46,Tarjeta Crédito,TRX-270363,
53,91,2024-03-22,1154.81,Tarjeta Débito,TRX-775250,Pago parcial
54,91,2024-04-04,2209.75,Efectivo,TRX-996962,Pago completo
55,92,2024-09-18,7564.62,Tarjeta Débito,TRX-490784,
56,92,2024-10-12,2377.92,Transferencia,TRX-165645,Pago parcial
57,92,2024-12-01,6871.78,Tarjeta Débito,TRX-431775,Pago completo
58,96,2024-06-30,60493.61,Efectivo,TRX-751891,Pago parcial
59,99,2024-10-27,20371.24,Tarjeta Crédito,TRX-941460,Pago parcial
60,99,2024-12-18,8820.86,Tarjeta Débito,TRX-344584,Pago completo
61,99,2024-11-11,16606.36,Transferencia,TRX-415308,Pago completo
